"date","dayTrip","prov","oil","xchange","month","weekday","unemploy","covid"
2017-01-01,16245,"Canada",48.506,0.743872,"January","weekend",4.689,"prepan"
2017-01-01,896,"Quebec",48.506,0.743872,"January","weekend",4.689,"prepan"
2017-01-01,83,"Saskatchewan",48.506,0.743872,"January","weekend",4.689,"prepan"
2017-01-01,13,"Yukon",48.506,0.743872,"January","weekend",4.689,"prepan"
2017-01-01,0,"Nova Scotia",48.506,0.743872,"January","weekend",4.689,"prepan"
2017-01-01,11762,"Ontario",48.506,0.743872,"January","weekend",4.689,"prepan"
2017-01-01,14,"Alberta",48.506,0.743872,"January","weekend",4.689,"prepan"
2017-01-01,1158,"New Brunswick",48.506,0.743872,"January","weekend",4.689,"prepan"
2017-01-01,248,"Manitoba",48.506,0.743872,"January","weekend",4.689,"prepan"
2017-01-01,2071,"British Columbia",48.506,0.743872,"January","weekend",4.689,"prepan"
2017-01-02,1004,"New Brunswick",48.511,0.744185,"January","weekday",4.688,"prepan"
2017-01-02,0,"Nova Scotia",48.511,0.744185,"January","weekday",4.688,"prepan"
2017-01-02,10339,"Ontario",48.511,0.744185,"January","weekday",4.688,"prepan"
2017-01-02,154,"Manitoba",48.511,0.744185,"January","weekday",4.688,"prepan"
2017-01-02,49,"Alberta",48.511,0.744185,"January","weekday",4.688,"prepan"
2017-01-02,15207,"Canada",48.511,0.744185,"January","weekday",4.688,"prepan"
2017-01-02,1080,"Quebec",48.511,0.744185,"January","weekday",4.688,"prepan"
2017-01-02,65,"Yukon",48.511,0.744185,"January","weekday",4.688,"prepan"
2017-01-02,2495,"British Columbia",48.511,0.744185,"January","weekday",4.688,"prepan"
2017-01-02,21,"Saskatchewan",48.511,0.744185,"January","weekday",4.688,"prepan"
2017-01-03,28,"Alberta",48.516,0.746178,"January","weekday",4.686,"prepan"
2017-01-03,6616,"Ontario",48.516,0.746178,"January","weekday",4.686,"prepan"
2017-01-03,59,"Manitoba",48.516,0.746178,"January","weekday",4.686,"prepan"
2017-01-03,550,"Quebec",48.516,0.746178,"January","weekday",4.686,"prepan"
2017-01-03,58,"Yukon",48.516,0.746178,"January","weekday",4.686,"prepan"
2017-01-03,0,"Nova Scotia",48.516,0.746178,"January","weekday",4.686,"prepan"
2017-01-03,9968,"Canada",48.516,0.746178,"January","weekday",4.686,"prepan"
